Year,TeamA,TeamB,GameType,Home,goalA,goalB,ExtraInfo
1996,England,Switzerland,Group stage,A,1,1,
1996,Netherlands,Scotland,Group stage,,0,0,
1996,Switzerland,Netherlands,Group stage,,0,2,
1996,Scotland,England,Group stage,B,0,2,
1996,Scotland,Switzerland,Group stage,,1,0,
1996,Netherlands,England,Group stage,B,1,4,
1996,Spain,Bulgaria,Group stage,,1,1,
1996,Romania,France,Group stage,,0,1,
1996,Bulgaria,Romania,Group stage,,1,0,
1996,France,Spain,Group stage,,1,1,
1996,France,Bulgaria,Group stage,,3,1,
1996,Romania,Spain,Group stage,,1,2,
1996,Germany,Czech Republic,Group stage,,2,0,
1996,Italy,Russia,Group stage,,2,1,
1996,Czech Republic,Italy,Group stage,,2,1,
1996,Russia,Germany,Group stage,,0,3,
1996,Russia,Czech Republic,Group stage,,3,3,
1996,Italy,Germany,Group stage,,0,0,
1996,Denmark,Portugal,Group stage,,1,1,
1996,Turkey,Croatia,Group stage,,0,1,
1996,Portugal,Turkey,Group stage,,1,0,
1996,Croatia,Denmark,Group stage,,3,0,
1996,Croatia,Portugal,Group stage,,0,3,
1996,Turkey,Denmark,Group stage,,0,3,
1996,Spain,England,Quarter-finals,B,0,0,ET (0:0) PENS (2:4)
1996,France,Netherlands,Quarter-finals,,0,0,ET (0:0) PENS (5:4)
1996,Germany,Croatia,Quarter-finals,,2,1,
1996,Czech Republic,Portugal,Quarter-finals,,1,0,
1996,France,Czech Republic,Semi-finals,,0,0,ET (0:0)  PENS (5:6)
1996,Germany,England,Semi-finals,B,1,1,ET (1:1) PENS (6:5)
1996,Czech Republic,Germany,Final,,1,1,ET (1:2) Golden Goal
2000,Belgium,Sweden,Group stage,A,2,1,
2000,Turkey,Italy,Group stage,,1,2,
2000,France,Denmark,Group stage,,3,0,
2000,Netherlands,Czech Republic,Group stage,A,1,0,
2000,Germany,Romania,Group stage,,1,1,
2000,Portugal,England,Group stage,,3,2,
2000,Spain,Norway,Group stage,,0,1,
2000,Yugoslavia,Slovenia,Group stage,,3,3,
2000,Italy,Belgium,Group stage,B,2,0,
2000,Sweden,Turkey,Group stage,,0,0,
2000,Czech Republic,France,Group stage,,1,2,
2000,Denmark,Netherlands,Group stage,B,0,3,
2000,Romania,Portugal,Group stage,,0,1,
2000,England,Germany,Group stage,,1,0,
2000,Slovenia,Spain,Group stage,,1,2,
2000,Norway,Yugoslavia,Group stage,,0,1,
2000,Italy,Sweden,Group stage,,2,1,
2000,Turkey,Belgium,Group stage,B,2,0,
2000,England,Romania,Group stage,,2,3,
2000,Portugal,Germany,Group stage,,3,0,
2000,Slovenia,Norway,Group stage,,0,0,
2000,Yugoslavia,Spain,Group stage,,3,4,
2000,Denmark,Czech Republic,Group stage,,0,2,
2000,France,Netherlands,Group stage,B,2,3,
2000,Turkey,Portugal,Quarter-finals,,0,2,
2000,Italy,Romania,Quarter-finals,,2,0,
2000,Netherlands,Yugoslavia,Quarter-finals,A,6,1,
2000,Spain,France,Quarter-finals,,1,2,
2000,France,Portugal,Semi-finals,,1,1,ET (2:1)
2000,Italy,Netherlands,Semi-finals,B,0,0,ET (0:0) PENS (3:1)
2000,France,Italy,Final,,1,1,ET (2:1)
2004,Portugal,Greece,Group stage,A,1,2,
2004,Spain,Russia,Group stage,,1,0,
2004,Switzerland,Croatia,Group stage,,0,0,
2004,France,England,Group stage,,2,1,
2004,Denmark,Italy,Group stage,,0,0,
2004,Sweden,Bulgaria,Group stage,,5,0,
2004,Czech Republic,Latvia,Group stage,,2,1,
2004,Germany,Netherlands,Group stage,,1,1,
2004,Greece,Spain,Group stage,,1,1,
2004,Russia,Portugal,Group stage,B,0,2,
2004,England,Switzerland,Group stage,,3,0,
2004,Croatia,France,Group stage,,2,2,
2004,Bulgaria,Denmark,Group stage,,0,2,
2004,Italy,Sweden,Group stage,,1,1,
2004,Latvia,Germany,Group stage,,0,0,
2004,Netherlands,Czech Republic,Group stage,,2,3,
2004,Spain,Portugal,Group stage,B,0,1,
2004,Russia,Greece,Group stage,,2,1,
2004,Switzerland,France,Group stage,,1,3,
2004,Croatia,England,Group stage,,2,4,
2004,Italy,Bulgaria,Group stage,,2,1,
2004,Denmark,Sweden,Group stage,,2,2,
2004,Germany,Czech Republic,Group stage,,1,2,
2004,Netherlands,Latvia,Group stage,,3,0,
2004,Portugal,England,Quarter-finals,A,1,1,ET (2:2) PENS (6:5)
2004,France,Greece,Quarter-finals,,0,1,
2004,Sweden,Netherlands,Quarter-finals,,0,0,ET (0:0) PENS (4:5)
2004,Czech Republic,Denmark,Quarter-finals,,3,0,
2004,Portugal,Netherlands,Semi-finals,A,2,1,
2004,Greece,Czech Republic,Semi-finals,,0,0,ET (1:0)
2004,Portugal,Greece,Final,A,0,1,
2008,Switzerland,Czech Republic,Group stage,A,0,1,
2008,Portugal,Turkey,Group stage,,2,0,
2008,Austria,Croatia,Group stage,A,0,1,
2008,Germany,Poland,Group stage,,2,0,
2008,Romania,France,Group stage,,0,0,
2008,Netherlands,Italy,Group stage,,3,0,
2008,Spain,Russia,Group stage,,4,1,
2008,Greece,Sweden,Group stage,,0,2,
2008,Czech Republic,Portugal,Group stage,,1,3,
2008,Switzerland,Turkey,Group stage,A,1,2,
2008,Croatia,Germany,Group stage,,2,1,
2008,Austria,Poland,Group stage,A,1,1,
2008,Italy,Romania,Group stage,,1,1,
2008,Netherlands,France,Group stage,,4,1,
2008,Sweden,Spain,Group stage,,1,2,
2008,Greece,Russia,Group stage,,0,1,
2008,Switzerland,Portugal,Group stage,A,2,0,
2008,Turkey,Czech Republic,Group stage,,3,2,
2008,Austria,Germany,Group stage,A,0,1,
2008,Poland,Croatia,Group stage,,0,1,
2008,France,Italy,Group stage,,0,2,
2008,Netherlands,Romania,Group stage,,2,0,
2008,Russia,Sweden,Group stage,,2,0,
2008,Greece,Spain,Group stage,,1,2,
2008,Portugal,Germany,Quarter-finals,,2,3,
2008,Croatia,Turkey,Quarter-finals,,1,1,ET (1:1) PENS (1:3)
2008,Netherlands,Russia,Quarter-finals,,1,1,ET (1:3)
2008,Spain,Italy,Quarter-finals,,0,0,ET (0:0) PENS (4:2)
2008,Germany,Turkey,Semi-finals,,3,2,
2008,Russia,Spain,Semi-finals,,0,3,
2008,Germany,Spain,Final,,0,1,
2012,Poland,Greece,Group stage,A,1,1,
2012,Russia,Czech Republic,Group stage,,4,1,
2012,Netherlands,Denmark,Group stage,,0,1,
2012,Germany,Portugal,Group stage,,1,0,
2012,Spain,Italy,Group stage,,1,1,
2012,Republic of Ireland,Croatia,Group stage,,1,3,
2012,France,England,Group stage,,1,1,
2012,Ukraine,Sweden,Group stage,A,2,1,
2012,Greece,Czech Republic,Group stage,,1,2,
2012,Poland,Russia,Group stage,A,1,1,
2012,Denmark,Portugal,Group stage,,2,3,
2012,Netherlands,Germany,Group stage,,1,2,
2012,Italy,Croatia,Group stage,,1,1,
2012,Spain,Republic of Ireland,Group stage,,4,0,
2012,Ukraine,France,Group stage,A,0,2,
2012,Sweden,England,Group stage,,2,3,
2012,Czech Republic,Poland,Group stage,B,1,0,
2012,Greece,Russia,Group stage,,1,0,
2012,Denmark,Germany,Group stage,,1,2,
2012,Portugal,Netherlands,Group stage,,2,1,
2012,Italy,Republic of Ireland,Group stage,,2,0,
2012,Croatia,Spain,Group stage,,0,1,
2012,Sweden,France,Group stage,,2,0,
2012,England,Ukraine,Group stage,B,1,0,
2012,Czech Republic,Portugal,Quarter-finals,,0,1,
2012,Germany,Greece,Quarter-finals,,4,2,
2012,Spain,France,Quarter-finals,,2,0,
2012,England,Italy,Quarter-finals,,0,0,ET (0:0) PENS (2:4)
2012,Portugal,Spain,Semi-finals,,0,0,ET (0:0) PENS (2:4)
2012,Germany,Italy,Semi-finals,,1,2,
2012,Spain,Italy,Final,,4,0,
2016,France,Romania,Group stage,A,2,1,
2016,Albania,Switzerland,Group stage,,0,1,
2016,Wales,Slovakia,Group stage,,2,1,
2016,England,Russia,Group stage,,1,1,
2016,Turkey,Croatia,Group stage,,0,1,
2016,Poland,Northern Ireland,Group stage,,1,0,
2016,Germany,Ukraine,Group stage,,2,0,
2016,Spain,Czech Republic,Group stage,,1,0,
2016,Republic of Ireland,Sweden,Group stage,,1,1,
2016,Belgium,Italy,Group stage,,0,2,
2016,Austria,Hungary,Group stage,,0,2,
2016,Portugal,Iceland,Group stage,,1,1,
2016,Russia,Slovakia,Group stage,,1,2,
2016,Romania,Switzerland,Group stage,,1,1,
2016,France,Albania,Group stage,A,2,0,
2016,England,Wales,Group stage,,2,1,
2016,Ukraine,Northern Ireland,Group stage,,0,2,
2016,Germany,Poland,Group stage,,0,0,
2016,Italy,Sweden,Group stage,,1,0,
2016,Czech Republic,Croatia,Group stage,,2,2,
2016,Spain,Turkey,Group stage,,3,0,
2016,Belgium,Republic of Ireland,Group stage,,3,0,
2016,Iceland,Hungary,Group stage,,1,1,
2016,Portugal,Austria,Group stage,,0,0,
2016,Switzerland,France,Group stage,B,0,0,
2016,Romania,Albania,Group stage,,0,1,
2016,Russia,Wales,Group stage,,0,3,
2016,Slovakia,England,Group stage,,0,0,
2016,Ukraine,Poland,Group stage,,0,1,
2016,Northern Ireland,Germany,Group stage,,0,1,
2016,Czech Republic,Turkey,Group stage,,0,2,
2016,Croatia,Spain,Group stage,,2,1,
2016,Iceland,Austria,Group stage,,2,1,
2016,Hungary,Portugal,Group stage,,3,3,
2016,Sweden,Belgium,Group stage,,0,1,
2016,Italy,Republic of Ireland,Group stage,,0,1,
2016,Switzerland,Poland,Round of 16,,1,1,ET (1:1) PENS (4:5)
2016,Wales,Northern Ireland,Round of 16,,1,0,
2016,Croatia,Portugal,Round of 16,,0,0,ET (0:1)
2016,France,Republic of Ireland,Round of 16,A,2,1,
2016,Germany,Slovakia,Round of 16,,3,0,
2016,Hungary,Belgium,Round of 16,,0,4,
2016,Italy,Spain,Round of 16,,2,0,
2016,England,Iceland,Round of 16,,1,2,
2016,Poland,Portugal,Quarter-finals,,1,1,ET (1:1) PENS (3:5)
2016,Wales,Belgium,Quarter-finals,,3,1,
2016,Germany,Italy,Quarter-finals,,1,1,ET (1:1) PENS (6:5)
2016,France,Iceland,Quarter-finals,A,5,2,
2016,Portugal,Wales,Semi-finals,,2,0,
2016,Germany,France,Semi-finals,B,0,2,
2016,Portugal,France,Final,B,0,0,ET (1:0)
2021,Turkey,Italy,Group stage,B,0,3,
2021,Wales,Switzerland,Group stage,,1,1,
2021,Denmark,Finland,Group stage,A,0,1,
2021,Belgium,Russia,Group stage,B,3,0,
2021,England,Croatia,Group stage,A,1,0,
2021,Austria,North Macedonia,Group stage,,3,1,
2021,Netherlands,Ukraine,Group stage,A,3,2,
2021,Scotland,Czech Republic,Group stage,A,0,2,
2021,Poland,Slovakia,Group stage,,1,2,
2021,Spain,Sweden,Group stage,A,0,0,
2021,Hungary,Portugal,Group stage,A,0,3,
2021,France,Germany,Group stage,B,1,0,
2021,Finland,Russia,Group stage,B,0,1,
2021,Turkey,Wales,Group stage,,0,2,
2021,Italy,Switzerland,Group stage,A,3,0,
2021,Ukraine,North Macedonia,Group stage,,2,1,
2021,Denmark,Belgium,Group stage,A,1,2,
2021,Netherlands,Austria,Group stage,A,2,0,
2021,Sweden,Slovakia,Group stage,,1,0,
2021,Croatia,Czech Republic,Group stage,,1,1,
2021,England,Scotland,Group stage,A,0,0,
2021,Hungary,France,Group stage,A,1,1,
2021,Portugal,Germany,Group stage,B,2,4,
2021,Spain,Poland,Group stage,A,1,1,
2021,Italy,Wales,Group stage,A,1,0,
2021,Switzerland,Turkey,Group stage,,3,1,
2021,North Macedonia,Netherlands,Group stage,B,0,3,
2021,Ukraine,Austria,Group stage,,0,1,
2021,Russia,Denmark,Group stage,B,1,4,
2021,Finland,Belgium,Group stage,,0,2,
2021,Croatia,Scotland,Group stage,B,3,1,
2021,Czech Republic,England,Group stage,B,0,1,
2021,Sweden,Poland,Group stage,,3,2,
2021,Slovakia,Spain,Group stage,B,0,5,
2021,Germany,Hungary,Group stage,A,2,2,
2021,Portugal,France,Group stage,,2,2,
2021,Wales,Denmark,Round of 16,,0,4,
2021,Italy,Austria,Round of 16,,0,0,ET (2:1)
2021,Netherlands,Czech Republic,Round of 16,,0,2,
2021,Belgium,Portugal,Round of 16,,1,0,
2021,Croatia,Spain,Round of 16,,3,3,ET (3:5)
2021,France,Switzerland,Round of 16,,3,3,
2021,England,Germany,Round of 16,A,2,0,
2021,Sweden,Ukraine,Round of 16,,1,1,ET (1:2)
2021,Switzerland,Spain,Quarter-finals,,1,1,ET (1:1) PENS (1:3)
2021,Belgium,Italy,Quarter-finals,,1,2,
2021,Czech Republic,Denmark,Quarter-finals,,1,2,
2021,Ukraine,England,Quarter-finals,,0,4,
2021,Italy,Spain,Semi-finals,,1,1,ET (1:1) PENS (4:2)
2021,England,Denmark,Semi-finals,A,1,1,ET (2:1)
2021,Italy,England,Final,B,1,1,ET (1:1) PENS (3:2)
